,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,64.0123118709,64.1225978563,63.8306566774,64.1104469898,0.775468854122,0.97244741527,1.29576712465,0.918006611648
autos,81.3192043447,83.8826785406,82.5802474377,83.393466696,5.43439678138,5.96969467543,5.9740244037,6.20048185535
balance-scale,96.5891811222,96.6211769261,96.6214391867,96.5734267481,1.64558190908,1.59476935277,1.57562532269,1.65640116683
car,94.9654523457,94.9944885065,94.8670856298,95.0348837209,1.33016449275,1.39045388635,1.48300040721,1.38359200685
cleveland,82.9958503799,82.8602376778,82.6556399766,82.8251899474,4.93450502254,4.9410596356,4.89814083591,4.9014686199
credit-approval,86.2015534084,86.2323226392,86.0331429385,86.1554031211,2.94172282764,3.10164948019,2.8802225681,3.10946556102
dermatology,99.8895967396,99.7507078507,99.7507078507,99.7507078507,0.378306797708,0.537565611852,0.537565611852,0.537565611852
diabetes,75.9110432052,75.7290552585,76.040913335,75.7941600883,2.72980822272,3.02940606387,2.91991249805,2.87056786624
ecoli,97.2169015776,96.804981869,96.5968253362,96.738544521,2.3063822156,2.60354093949,2.52712120106,2.46160947849
flare,82.2818610141,82.1374755884,82.1738616507,82.0516762323,1.14400989118,1.25992798691,1.20912391677,1.29370982864
german,76.32,76.29,76.19,76.27,1.98144453593,2.097350126,2.02507243509,2.03843177017
glass,76.7527769388,76.3142488003,76.3440937615,76.3612184973,5.81576347561,6.15498324133,6.46617295778,6.46736030389
heart-statlog,83.5185185185,83.4444444444,83.1851851852,83.6666666667,4.83845004184,4.69395970877,4.90439374656,4.77203507993
hepatitis,84.6805107527,83.5307795699,82.6977150538,83.7827956989,4.7288362604,5.4845832175,6.29358247064,5.44054692568
horse,85.0356765768,85.8090673335,85.8040566824,85.8074465129,3.30228268686,3.51459552997,3.42647470725,3.49032071535
ionosphere,94.0193158954,95.1034205231,94.7891348089,95.0748490946,2.50464899455,2.72259668036,2.47560009424,2.61431437854
iris,99.7333333333,99.8,99.7333333333,99.8,0.913491718726,0.799659791607,0.913491718726,0.799659791607
landsat-satellite,98.7910739105,98.7786261344,98.8097884552,98.826835429,0.317293526475,0.313742344522,0.324325071743,0.312573300789
letter,99.6657195226,99.7614294187,99.7539987955,99.7640008503,0.0573952149151,0.0549197771308,0.0630651582592,0.0558207171603
libras-movement,97.82,98.4933333333,98.4133333333,98.5466666667,1.46494952046,1.44159146121,1.44209472234,1.47197554944
lung-cancer,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
mfeat-karhunen,99.475,99.57,99.57,99.57,0.35083719115,0.353697668661,0.338966014792,0.353697668661
mfeat-morphological,99.85,99.815,99.835,99.815,0.195615199109,0.187695476335,0.199553072067,0.187695476335
mfeat-zernike,99.48,99.415,99.375,99.405,0.341963120102,0.333541601603,0.339755314115,0.338401102425
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,99.4804021061,99.5782569785,99.5693948682,99.5729283733,0.219146445418,0.210315416341,0.21731509415,0.204218534551
page-blocks,96.4187806709,96.5265701758,96.5831879663,96.4736254061,0.408652706213,0.400474876692,0.403877777743,0.432282524335
pendigits,99.8271460303,99.8216885804,99.8144133674,99.8216889969,0.0806504611273,0.0705004177095,0.0851586753298,0.0705006606751
scene-classification,84.9849108804,85.2423880991,85.0388702938,85.1926647243,1.275516321,1.33800173086,1.34279766542,1.28127123239
segment,99.6796536797,99.7272727273,99.7402597403,99.7229437229,0.232384591565,0.208851512564,0.205109758216,0.21440860635
shuttle,99.9032511384,99.911231633,99.925615889,99.9119212931,0.0217083332326,0.0202124964917,0.0185188475545,0.0198701627654
sonar,83.5117899684,84.6153742268,84.6607244146,84.5167058315,5.25154991972,5.13882786599,4.76887133052,5.23405832557
spambase,93.2885553976,93.2950086189,93.2732647368,93.3211523171,0.801904457213,0.804895212685,0.814183187204,0.826008783852
tic-tac,88.8626132007,90.1365608243,90.136236425,90.2205486079,2.10723526719,2.18163474173,1.99335236537,2.1626304484
vehicle,97.6377429552,97.7080518043,97.5783541842,97.7551155715,1.16225157467,1.11242853271,1.12740593174,1.13979382635
vowel,97.9292929293,98.2525252525,98.1919191919,98.2626262626,0.990586595797,0.817623005097,0.866341822346,0.836194123778
waveform-5000,89.777973738,89.7559336899,89.693971672,89.7599096939,0.826739041235,0.823707269131,0.721947838157,0.832624490247
wdbc,97.5188918815,97.2900346287,97.3089649865,97.1850711812,1.38733902024,1.2452747698,1.3217707284,1.36646095395
wpbc,76.757219973,78.926585695,78.4597840756,79.1317813765,2.36158157775,4.23175790134,4.58055595748,4.31460073371
yeast,73.9744607403,73.9545070149,73.7520291592,73.9806920419,1.88145361131,2.08542182046,2.331394992,1.95120547453
zoo,99.4028252449,99.7994987469,99.9047619048,99.7994987469,1.63684763991,0.993514996456,0.673435029701,0.993514996456
