,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,beta_am,isotonic,sigmoid,None,beta,beta_ab,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,0.214283260181,0.213765120776,0.213839807799,0.213999097231,0.344941987415,0.21459369338,0.00428020244125,0.00378390428266,0.0039332095256,0.00377712800329,0.0154512656757,0.00380754457669
autos,0.0609624489262,0.0765800589115,0.076048651368,0.0822959697684,0.114630907366,0.0659755957776,0.0343255211475,0.0217011508805,0.020249596558,0.0176332969415,0.0408072553381,0.0252739962752
balance-scale,0.0112380682742,0.00868746652724,0.00886510404851,0.00876120591129,0.0146628415057,0.00808692656264,0.00443469092193,0.00575074085481,0.0061906220106,0.00565953734677,0.0108557899331,0.00607056162366
car,0.0348040309091,0.0342571476636,0.0343538209804,0.0344039201579,0.0479734869633,0.0361429688902,0.00521653717834,0.00614297216609,0.00611663067749,0.0059449617133,0.00885215023953,0.00700329485684
cleveland,0.141899672944,0.137578853211,0.137071674686,0.137689299723,0.209519583792,0.137290698424,0.0323934155417,0.019486412229,0.0192821033093,0.0189637601493,0.0393674783665,0.0244872823715
credit-approval,0.101946744607,0.104395763275,0.10384121976,0.104305169193,0.146580080778,0.102528074227,0.0193496954259,0.0148708987924,0.0147673457077,0.0144543159711,0.0236082848618,0.0177093552331
dermatology,0.00369599293708,0.00372877731741,0.0066490880969,0.00357527510514,0.00375004176672,0.00373110476145,0.00616184598649,0.00600615658647,0.0177535610387,0.00587391234621,0.00603312312086,0.00609428171077
diabetes,0.167372137342,0.162603600679,0.162273758279,0.162614013121,0.247165584937,0.165152851042,0.017275866184,0.0114414885659,0.0111503569131,0.0110892906437,0.0242500008117,0.013554786024
ecoli,0.0393514799436,0.0413109714222,0.0401432650268,0.0414286893819,0.0591683301013,0.0393171554191,0.0237875626446,0.0177443764798,0.016711531236,0.0161738249615,0.029497598823,0.0224122808864
flare,0.130035284716,0.130067692604,0.130147464725,0.130033133302,0.176886827228,0.130498038603,0.00813969165392,0.00824880967861,0.0080071161453,0.00807726474859,0.0112150687236,0.00893225043266
german,0.167660006642,0.167591293301,0.167847613532,0.167467977572,0.246330412297,0.166673930727,0.0119992425826,0.00868591394069,0.00918472622672,0.00852794918761,0.012716432343,0.0091123662701
glass,0.167457481275,0.165087343217,0.165221312503,0.165638865946,0.234817557301,0.156102688002,0.0446886235815,0.0207118180011,0.019845829546,0.0189575410087,0.0381222852227,0.0275369953096
heart-statlog,0.151673799028,0.141806384202,0.141390627338,0.141717158566,0.209049106291,0.143696239148,0.0425150090499,0.0230102643941,0.0226762942586,0.0224547023047,0.0406695647299,0.0287077671601
hepatitis,0.153906897474,0.131269060979,0.13881865483,0.131349431702,0.217726540744,0.132631657875,0.054259717756,0.0181821750025,0.0193175657379,0.0169246098913,0.0474643083366,0.0250811770051
horse,0.140955440941,0.138618933017,0.141723580082,0.14011359564,0.196284051027,0.132098911394,0.0365747604008,0.0200169914218,0.0191368059216,0.0177688063797,0.037815658706,0.0245720397937
ionosphere,0.0670926019709,0.0612732115045,0.0607474938864,0.0619681765909,0.106078603831,0.0647509263169,0.0264367446601,0.0171540824189,0.016394977719,0.0156997612545,0.0305496369111,0.0240623973918
iris,0.0142093366186,1.85907187325e-10,2.12541215363e-10,2.1840422568e-10,0.0,1.85907529738e-10,0.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,0.0133907939281,0.0126876383914,0.0127047903914,0.0126639096483,0.0180146839693,0.0151118145729,0.00260600555033,0.00217341682056,0.00219471012785,0.00215616416952,0.00319147545084,0.00313588789974
letter,0.0105225797359,0.0103125247995,0.0102762256643,0.0104914395803,0.0137305387647,0.0109329259001,0.000611079480161,0.000715139455288,0.000702679344256,0.000673931508655,0.00113409463037,0.000911807197561
libras-movement,0.0222154061073,0.0206612518566,0.0201489224532,0.0206760077756,0.0203580511214,0.0208864062548,0.0150928048493,0.0131821479898,0.013580904147,0.0128951679843,0.0151319774666,0.0142245334423
lung-cancer,0.0564978542256,0.0491142002034,0.0483965183208,0.0484296340135,0.055649971018,0.0494975592978,0.0444575038358,0.0443384712224,0.0449347196154,0.0449041190385,0.055074458638,0.0440728017577
mfeat-karhunen,0.00547549290948,0.00538977861995,0.00513783495207,0.00567759785377,0.00636869894728,0.00578610244553,0.0036249730033,0.0027578377641,0.00291287427322,0.00253344316139,0.00412930565032,0.00370120180435
mfeat-morphological,0.0020015598287,0.0111700224962,0.00203945576807,0.0140292884632,0.00709649311971,0.00203652481666,0.00206804707738,0.0255205563894,0.00197203349625,0.0355506530049,0.0122839474797,0.00208494229615
