,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.213844839295,0.212771945686,0.211984651975,0.213784059467,0.00481250242375,0.00292052576557,0.0030148848825,0.00318445342814
autos,0.0850342944736,0.0697949152107,0.0668145748977,0.0690077005799,0.0186354941637,0.0253289053877,0.0266868964448,0.0262335949239
balance-scale,0.0629106735436,0.0587929727068,0.0590306399823,0.0587832791805,0.0071324344165,0.00837095408646,0.00914283514068,0.00938202981166
car,0.0219645581862,0.0087535962103,0.0090122038326,0.00862625857424,0.00237572208042,0.00331547775605,0.0034384447251,0.00337800528608
cleveland,0.126627473018,0.124324589356,0.125380780886,0.124224180109,0.0208148613532,0.0242496719908,0.027555447301,0.0260212410433
credit-approval,0.0959279378757,0.09288896353,0.092631948941,0.0903291368725,0.0142392183583,0.0156320549167,0.0182846510562,0.0173306337041
dermatology,0.00554802907908,0.00108251131922,0.00123493761591,0.000822278842647,0.00209663199764,0.00175768244594,0.00152910937825,0.00154546112491
diabetes,0.158305905094,0.158551626769,0.160656583347,0.158959343133,0.0114299336663,0.0114663059377,0.0127201111504,0.0125228029416
ecoli,0.0351463503467,0.0343264929723,0.0331744516988,0.0324763707045,0.0152861640469,0.0184203181095,0.0202191384301,0.0204835761871
flare,0.133713423381,0.139069820438,0.134378852392,0.134426846297,0.00856324649662,0.00671962102042,0.00777071705572,0.00839132269024
german,0.161430153056,0.159984604466,0.160871297638,0.159470696932,0.00771886270285,0.008677447625,0.0101307388465,0.00923719917466
glass,0.127303872815,0.123741391808,0.125262321046,0.123690217901,0.024041096013,0.0279371132354,0.0331656373511,0.0300226228682
heart-statlog,0.125987660494,0.122468295573,0.125825971434,0.12222428933,0.0214443170459,0.0253890910236,0.0283880627042,0.0270502868808
hepatitis,0.110079971036,0.112957645752,0.115275111571,0.113959647063,0.0249478076212,0.0272161770602,0.0311888234356,0.029525186347
horse,0.106434228927,0.101908214744,0.104180514106,0.101038759612,0.0168861697009,0.0206206157282,0.0233391173102,0.0220222734686
ionosphere,0.0553731866421,0.0514108278688,0.0502563504263,0.0509567281835,0.0125089677675,0.0155426755625,0.0166850771122,0.0170303980097
iris,0.000172024074074,2.17588743867e-06,2.13848894826e-05,2.79970646293e-10,0.000225392013302,8.55296346586e-06,5.72474359294e-05,2.52107821809e-10
landsat-satellite,0.0106818816843,0.00857824642435,0.00867031988498,0.00886423198477,0.00143912126322,0.00180140258919,0.00179403105545,0.00205800809842
letter,0.00175852743346,0.000603221005984,0.000593015261038,0.000598146741684,0.000258137296892,0.000227100134946,0.000246562174353,0.000249267837478
libras-movement,0.0338669425926,0.026316667804,0.0265824070067,0.0261088176647,0.00771250019871,0.0113207513274,0.0118317853614,0.0121113708383
lung-cancer,0.0243881574561,0.000234659724002,0.00188049506958,0.000312449271225,0.00611220505141,0.000625746105901,0.00236671172266,0.000954670466203
mfeat-karhunen,0.0208836840278,0.00561936400115,0.00577720967412,0.00564041868305,0.00247566928656,0.00259841973771,0.00287636530099,0.0027256009028
mfeat-morphological,0.00202674986111,0.00240306324139,0.00182312687608,0.00191136948557,0.00190614452499,0.00182894750644,0.00196056582085,0.0019799347207
mfeat-zernike,0.0110948011111,0.00791039760364,0.00790150669735,0.00783217515776,0.0027663109546,0.00284711628675,0.00316214336741,0.0031944312971
mushroom,3.64536697444e-05,1.32974969811e-05,2.42097858206e-06,9.77027311783e-08,4.04912861491e-05,2.11989210835e-05,7.87481819266e-06,6.62865627652e-07
optdigits,0.0128167031248,0.00612212331448,0.00622647763076,0.00617223063641,0.00152862871789,0.00169439441017,0.00169792429205,0.00184192169986
page-blocks,0.0185407568555,0.0197685968297,0.0183130692362,0.0188611595349,0.00258416534506,0.00228345533081,0.00288870415027,0.00308622169729
pendigits,0.00529493634764,0.00350320332535,0.00351517168258,0.00340854447503,0.000633471031343,0.000775539044017,0.000828843380755,0.000815391980074
scene-classification,0.116349811218,0.105994819399,0.106084674068,0.105167422601,0.00427566956475,0.00648390887037,0.00707606417112,0.00700666825419
